entity:ID,name,type,frequency,:LABEL
288,Cardiomyopathies,Disease,406,Disease
289,Tooth Loss,Disease,104,Disease
290,ALPL,Gene,7,Gene
291,Arbovirus Infections,Disease,253,Disease
292,BACE1,Gene,53,Gene
293,ABO,Gene,23,Gene
294,Glioblastoma,Disease,159,Disease
295,Brain Neoplasms,Disease,144,Disease
296,Porphyrias,Disease,3,Disease
297,HMBS,Gene,7,Gene
298,MGMT,Gene,13,Gene
299,USP17L2,Gene,3,Gene
300,GZMB,Gene,13,Gene
301,SELL,Gene,7,Gene
302,B3GAT1,Gene,5,Gene
303,Metabolic Diseases,Disease,814,Disease
304,Acute Kidney Injury,Disease,625,Disease
305,Sepsis,Disease,607,Disease
306,Euthyroid Sick Syndromes,Disease,30,Disease
307,Cerebral Hemorrhage,Disease,313,Disease
308,Lung Diseases,Disease,498,Disease
309,Acquired Immunodeficiency Syndrome,Disease,534,Disease
310,Movement Disorders,Disease,189,Disease
311,Tuberculosis,Disease,355,Disease
312,"Heredodegenerative Disorders, Nervous System",Disease,270,Disease
313,Basal Ganglia Diseases,Disease,65,Disease
314,Eyelid Diseases,Disease,17,Disease
315,Eye Diseases,Disease,65,Disease
316,Osteoarthritis,Disease,1232,Disease
317,Muscle Weakness,Disease,451,Disease
318,Acromegaly,Disease,161,Disease
319,Adenoma,Disease,135,Disease
320,Blood Coagulation Disorders,Disease,133,Disease
321,Liver Failure,Disease,238,Disease
322,Craniocerebral Trauma,Disease,195,Disease
323,"Colitis, Ulcerative",Disease,86,Disease
324,Hypotension,Disease,862,Disease
325,Respiration Disorders,Disease,25,Disease
326,Intermittent Claudication,Disease,55,Disease
327,Neurodegenerative Diseases,Disease,2730,Disease
328,Pulmonary Embolism,Disease,209,Disease
329,Coronavirus Infections,Disease,29,Disease
330,Myelodysplastic Syndromes,Disease,348,Disease
331,Hematologic Diseases,Disease,161,Disease
332,Aortic Valve Stenosis,Disease,120,Disease
333,Dysplastic Nevus Syndrome,Disease,19,Disease
334,Hyperthyroidism,Disease,136,Disease
335,Hypotrichosis,Disease,10,Disease
336,"Signs and Symptoms, Digestive",Disease,39,Disease
337,Prediabetic State,Disease,98,Disease
338,Malocclusion,Disease,71,Disease
339,Chronic Pain,Disease,148,Disease
340,Pelvic Neoplasms,Disease,70,Disease
341,Neurogenic Inflammation,Disease,44,Disease
342,Cerebral Arterial Diseases,Disease,10,Disease
343,Cerebral Small Vessel Diseases,Disease,232,Disease
344,"Stroke, Lacunar",Disease,62,Disease
345,Synovitis,Disease,49,Disease
346,Femoral Neck Fractures,Disease,115,Disease
347,Frailty,Disease,55,Disease
348,"Infarction, Middle Cerebral Artery",Disease,35,Disease
349,"Leukemia, Myeloid, Acute",Disease,391,Disease
350,"Breast Neoplasms, Male",Disease,42,Disease
351,"Obesity, Abdominal",Disease,274,Disease
352,Ankle Injuries,Disease,17,Disease
353,"Gait Disorders, Neurologic",Disease,181,Disease
354,Carotid Artery Diseases,Disease,91,Disease
355,Sensation Disorders,Disease,109,Disease
356,Scoliosis,Disease,78,Disease
357,Ocular Hypertension,Disease,148,Disease
358,Postoperative Complications,Disease,38,Disease
359,Aphasia,Disease,33,Disease
360,Sleepiness,Disease,65,Disease
361,Brain Infarction,Disease,88,Disease
362,"Brain Injuries, Traumatic",Disease,366,Disease
363,Hemostatic Disorders,Disease,56,Disease
364,"Cardiac Complexes, Premature",Disease,58,Disease
365,"Tuberculosis, Pulmonary",Disease,24,Disease
366,Tibial Neuropathy,Disease,7,Disease
367,Ischemia,Disease,843,Disease
368,Subarachnoid Hemorrhage,Disease,119,Disease
369,Intracranial Arteriosclerosis,Disease,44,Disease
370,Creutzfeldt-Jakob Syndrome,Disease,18,Disease
371,Brain Diseases,Disease,353,Disease
372,"Myoclonic Epilepsies, Progressive",Disease,27,Disease
373,Muscular Diseases,Disease,383,Disease
374,Myositis,Disease,53,Disease
375,Stomach Neoplasms,Disease,351,Disease
376,Arteriolosclerosis,Disease,79,Disease
377,Carpal Tunnel Syndrome,Disease,54,Disease
378,"Lymphoma, B-Cell",Disease,56,Disease
379,Diabetic Foot,Disease,66,Disease
380,Thyroid Diseases,Disease,127,Disease
381,Hypothyroidism,Disease,296,Disease
382,Hepatitis B,Disease,153,Disease
383,"Hepatitis, Viral, Human",Disease,38,Disease
384,Vascular System Injuries,Disease,77,Disease
385,Syncope,Disease,203,Disease
386,Retinal Diseases,Disease,219,Disease
387,Birdshot Chorioretinopathy,Disease,4,Disease
388,Spinal Dysraphism,Disease,13,Disease
389,"Aortic Aneurysm, Thoracic",Disease,34,Disease
390,Glycogen Storage Disease Type III,Disease,4,Disease
391,Aortic Aneurysm,Disease,109,Disease
392,Tibial Meniscus Injuries,Disease,14,Disease
393,Neural Tube Defects,Disease,11,Disease
394,Hyperlipidemias,Disease,234,Disease
395,Diabetic Neuropathies,Disease,52,Disease
396,Neurologic Manifestations,Disease,560,Disease
397,Kyphosis,Disease,113,Disease
398,Astigmatism,Disease,16,Disease
399,"Aortic Aneurysm, Abdominal",Disease,171,Disease
400,Back Pain,Disease,151,Disease
401,Asthma,Disease,460,Disease
402,Cancer Pain,Disease,32,Disease
403,Appendicitis,Disease,71,Disease
404,Hemorrhagic Fever with Renal Syndrome,Disease,1,Disease
405,Chronobiology Disorders,Disease,35,Disease
406,Leprosy,Disease,9,Disease
407,Dysgeusia,Disease,27,Disease
408,MIR942,RNA,2,RNA
409,ROCK2,Gene,7,Gene
410,CAT,Gene,68,Gene
411,Glutathione,Peptide,229,Peptide
412,FKBP5,Gene,7,Gene
413,Adenocarcinoma of Lung,Disease,33,Disease
414,ERBB2,Gene,57,Gene
415,INSL3,Gene,22,Gene
416,Hypogonadism,Disease,308,Disease
417,GBA,Gene,26,Gene
418,PDGFB,Gene,2,Gene
419,Hyperparathyroidism,Disease,106,Disease
420,TNFRSF4,Gene,4,Gene
421,P2RY12,Gene,9,Gene
422,CD38,Gene,10,Gene
423,Fibrosis,Disease,1081,Disease
424,TNFSF15,Gene,1,Gene
425,Tramadol,Lipid,40,Lipid
426,HDAC2,Gene,9,Gene
427,Hyperinsulinism,Disease,193,Disease
428,TP53,Gene,416,Gene
429,Pancreatic Neoplasms,Disease,183,Disease
430,GCG,Gene,31,Gene
431,"Arthritis, Rheumatoid",Disease,699,Disease
432,Lipopolysaccharides,Carbohydrate;Lipid;Toxin,105,Carbohydrate;Lipid;Toxin
433,"Syncope, Vasovagal",Disease,17,Disease
434,AR,Gene,64,Gene
435,KLK3,Gene,159,Gene
436,RETN,Gene,37,Gene
437,Hypertrophy,Disease,231,Disease
438,ADARB2,Gene,7,Gene
439,ADIPOQ,Gene,313,Gene
440,rs2805533,Mutation,4,Mutation
441,Eicosanoids,Lipid,19,Lipid
442,Nijmegen Breakage Syndrome,Disease,24,Disease
443,CDX2,Gene,4,Gene
444,QRSL1,Gene,5,Gene
445,NEFL,Gene,103,Gene
446,Chagas Disease,Disease,24,Disease
447,CXCL9,Gene,9,Gene
448,FOXO1,Gene,73,Gene
449,"Carcinoma, Non-Small-Cell Lung",Disease,130,Disease
450,EGFR,Gene,133,Gene
451,ALK,Gene,29,Gene
452,IL6,Gene,319,Gene
453,PTH,Gene,163,Gene
454,ESR1,Gene,63,Gene
455,Breast Neoplasms,Disease,1074,Disease
456,MAPT,Gene,800,Gene
457,PGR,Gene,29,Gene
458,Idiopathic Pulmonary Fibrosis,Disease,148,Disease
459,PINK1,Gene,27,Gene
460,PRKN,Gene,16,Gene
461,NRF1,Gene,5,Gene
462,"Hearing Loss, Central",Disease,90,Disease
463,GSTM1,Gene,33,Gene
464,Intervertebral Disc Degeneration,Disease,68,Disease
465,CILP,Gene,1,Gene
466,Peripheral Arterial Disease,Disease,353,Disease
467,ARG1,Gene,1,Gene
468,Spinal Cord Injuries,Disease,255,Disease
469,RBP4,Gene,28,Gene
470,Glucose Metabolism Disorders,Disease,403,Disease
471,PSMD11,Gene,7,Gene
472,FOXO4,Gene,29,Gene
473,NLRP3,Gene,78,Gene
474,SOX9,Gene,12,Gene
475,ACAN,Gene,15,Gene
476,IL1B,Gene,19,Gene
477,rs4612666,Mutation,1,Mutation
478,rs1143634,Mutation,1,Mutation
479,FGFR2,Gene,7,Gene
480,Lymphoproliferative Disorders,Disease,52,Disease
481,SST,Gene,24,Gene
482,CTSK,Gene,15,Gene
483,SOST,Gene,27,Gene
484,CYP17A1,Gene,5,Gene
485,CYP19A1,Gene,44,Gene
486,CXCR4,Gene,33,Gene
487,CCR5,Gene,17,Gene
488,Sarcoma,Disease,88,Disease
489,ALOX15,Gene,5,Gene
490,TP63,Gene,16,Gene
491,rs2619112,Mutation,4,Mutation
492,RAB8A,Gene,11,Gene
493,DES,Gene,5,Gene
494,LOXL2,Gene,1,Gene
495,Microaneurysm,Disease,16,Disease
496,LOXL4,Gene,2,Gene
497,PGF,Gene,14,Gene
498,MIR375,RNA,6,RNA
499,NRGN,Gene,18,Gene
500,IL10,Gene,45,Gene
501,rs1800795,Mutation,12,Mutation
502,rs7895833,Mutation,6,Mutation
503,"Parkinson Disease, Secondary",Disease,316,Disease
504,TNFSF12,Gene,23,Gene
505,CCDC62,Gene,8,Gene
506,rs2942168,Mutation,4,Mutation
507,rs12817488,Mutation,3,Mutation
508,NFKB1,Gene,34,Gene
509,NFKB2,Gene,5,Gene
510,Visceral Pain,Disease,10,Disease
511,IGF1,Gene,119,Gene
512,LEP,Gene,282,Gene
513,RECQL4,Gene,98,Gene
514,CYP24A1,Gene,3,Gene
515,PTEN,Gene,72,Gene
516,Disorders of Sex Development,Disease,20,Disease
517,SHBG,Gene,161,Gene
518,Glioma,Disease,151,Disease
519,CCL2,Gene,24,Gene
520,CCL7,Gene,3,Gene
521,CST3,Gene,161,Gene
522,CDKN1A,Gene,45,Gene
523,COPG1,Gene,1,Gene
524,CSF2RB,Gene,1,Gene
525,ATG7,Gene,9,Gene
526,CXCL1,Gene,17,Gene
527,SAA4,Gene,1,Gene
528,SYP,Gene,21,Gene
529,CHAT,Gene,27,Gene
530,Papilledema,Disease,18,Disease
531,COL17A1,Gene,13,Gene
532,Tonsillitis,Disease,3,Disease
533,VDR,Gene,71,Gene
534,ZNF410,Gene,3,Gene
535,TRPM8,Gene,2,Gene
536,TRPV1,Gene,27,Gene
537,Starch,Carbohydrate,8,Carbohydrate
538,MDM2,Gene,43,Gene
539,MDM4,Gene,2,Gene
540,Immune Complex Diseases,Disease,6,Disease
541,PRRX1,Gene,2,Gene
542,CAV1,Gene,21,Gene
543,CAV2,Gene,1,Gene
544,ZFHX3,Gene,1,Gene
545,rs1563828,Mutation,1,Mutation
546,Lipodystrophy,Disease,110,Disease
547,BSCL2,Gene,4,Gene
548,AGPAT2,Gene,7,Gene
549,SLTM,Gene,22,Gene
550,PLCL1,Gene,5,Gene
551,TMPRSS5,Gene,6,Gene
552,ITGB1,Gene,1,Gene
553,RAB7A,Gene,1,Gene
554,ALDOA,Gene,1,Gene
555,BCL2L11,Gene,15,Gene
556,GGTLC3,Gene,5,Gene
557,Uremia,Disease,55,Disease
558,ALPP,Gene,44,Gene
559,PRDX5,Gene,2,Gene
560,TLR2,Gene,12,Gene
561,BGLAP,Gene,82,Gene
562,TLR3,Gene,5,Gene
563,TLR4,Gene,55,Gene
564,PIK3CG,Gene,11,Gene
565,ACP2,Gene,2,Gene
566,Hypoglycemia,Disease,436,Disease
567,SPI1,Gene,5,Gene
568,SLC17A4,Gene,1,Gene
569,PTX3,Gene,20,Gene
570,Immune System Diseases,Disease,48,Disease
571,HK3,Gene,1,Gene
572,BRSK1,Gene,1,Gene
573,rs2278493,Mutation,1,Mutation
574,rs2234693,Mutation,4,Mutation
575,rs12611091,Mutation,1,Mutation
576,MAPK1,Gene,76,Gene
577,Eicosapentaenoic Acid,Lipid,60,Lipid
578,Docosahexaenoic Acids,Lipid,169,Lipid
579,TFAM,Gene,12,Gene
580,Drug Hypersensitivity,Disease,297,Disease
581,IL4,Gene,19,Gene
582,NPM1,Gene,19,Gene
583,IL6R,Gene,11,Gene
584,SOD3,Gene,5,Gene
585,PPARG,Gene,61,Gene
586,BIN1,Gene,12,Gene
587,CLU,Gene,103,Gene
588,PICALM,Gene,12,Gene
589,LCN2,Gene,35,Gene
590,B2M,Gene,4,Gene
591,MIR99B,RNA,1,RNA
592,GAD1,Gene,4,Gene
593,Amyloidosis,Disease,194,Disease
594,PRKAA1,Gene,42,Gene
595,GIP,Gene,21,Gene
596,ESR2,Gene,24,Gene
597,NEK2,Gene,2,Gene
598,FGF21,Gene,70,Gene
599,VTN,Gene,5,Gene
600,MYOC,Gene,8,Gene
601,ELN,Gene,89,Gene
602,Hyaluronic Acid,Carbohydrate,56,Carbohydrate
603,SRD5A1,Gene,1,Gene
604,Vascular Calcification,Disease,363,Disease
605,Hyperlipoproteinemia Type II,Disease,49,Disease
606,AZGP1,Gene,4,Gene
607,PCSK9,Gene,28,Gene
608,GSTP1,Gene,12,Gene
609,Nerve Degeneration,Disease,629,Disease
610,MTOR,Gene,217,Gene
611,Calcitriol,Lipid,87,Lipid
612,Calcifediol,Lipid,45,Lipid
613,Hyperhomocysteinemia,Disease,96,Disease
614,DRD2,Gene,6,Gene
615,SESN2,Gene,6,Gene
616,SESN1,Gene,3,Gene
617,SESN3,Gene,7,Gene
618,ENC1,Gene,3,Gene
619,TMEM106B,Gene,51,Gene
620,UNC5C,Gene,4,Gene
621,TDP-43 Proteinopathies,Disease,26,Disease
622,IL2,Gene,36,Gene
623,NOS3,Gene,69,Gene
624,PRKCA,Gene,3,Gene
625,LMNA,Gene,239,Gene
626,EMD,Gene,7,Gene
627,TNF,Gene,152,Gene
628,"Muscular Dystrophy, Emery-Dreifuss",Disease,18,Disease
629,Insulin Resistance,Disease,105,Disease
630,Glucose Intolerance,Disease,341,Disease
631,TEP1,Gene,4,Gene
632,TNKS,Gene,9,Gene
633,TERT,Gene,114,Gene
634,TERF2IP,Gene,11,Gene
635,TNKS2,Gene,4,Gene
636,UCP2,Gene,25,Gene
637,CXCL5,Gene,16,Gene
638,NPEPPS,Gene,23,Gene
639,CXCL12,Gene,17,Gene
640,FST,Gene,11,Gene
641,CHI3L1,Gene,37,Gene
642,GFAP,Gene,55,Gene
643,BRCA1,Gene,56,Gene
644,BRCA2,Gene,52,Gene
645,CXCL8,Gene,54,Gene
646,Bone Diseases,Disease,202,Disease
647,USP18,Gene,6,Gene
648,ZMPSTE24,Gene,25,Gene
649,EPOR,Gene,7,Gene
650,"Carcinoma, Merkel Cell",Disease,43,Disease
651,ANXA5,Gene,12,Gene
652,BCL2,Gene,61,Gene
653,BTG2,Gene,2,Gene
654,KCNE2,Gene,1,Gene
655,GJA5,Gene,3,Gene
656,MMP3,Gene,8,Gene
657,Carcinogenesis,Disease,278,Disease
658,WRN,Gene,276,Gene
659,SMAD7,Gene,8,Gene
660,IL1RN,Gene,11,Gene
661,NFKBIA,Gene,6,Gene
662,Hypoxia,Disease,399,Disease
663,KLRG1,Gene,12,Gene
664,"Lupus Erythematosus, Systemic",Disease,286,Disease
665,TNFRSF11B,Gene,87,Gene
666,TNFSF11,Gene,74,Gene
667,AHCY,Gene,2,Gene
668,CBS,Gene,4,Gene
669,Muscular Atrophy,Disease,279,Disease
670,BMP4,Gene,2,Gene
671,ALDH2,Gene,45,Gene
672,AQP4,Gene,19,Gene
673,"Malformations of Cortical Development, Group I",Disease,3,Disease
